"node","day.time","datasubset","datatype","lnlike","destpower.pe","destpower.lb","destpower.ub","destpower.iv","kernpower.pe","kernpower.lb","kernpower.ub","kernpower.iv","offset.pe","offset.lb","offset.ub","offset.iv"
"DESKTOP-MTPK7QB","2024-07-25 22:40:23.369647","ALL","ACTUAL",-20346.7871329492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESKTOP-MTPK7QB","2024-07-26 09:08:06.751117","ALL","ACTUAL",-20346.7871329492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESKTOP-MTPK7QB","2024-07-30 16:13:30.482537","ALL","ACTUAL",-20346.7871329492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESKTOP-MTPK7QB","2024-07-30 16:14:42.764237","RURAL","ACTUAL",-14373.3724724216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESKTOP-MTPK7QB","2024-07-30 16:57:29.537299","CHILDREN","ACTUAL",-1946.40143289211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,19792.3455889511
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,12139.6061664277
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,5287.53651200281
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,8114.58683122601
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,18031.4077001801
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,6375.94837441645
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,8169.28583047353
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,18169.9373206634
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,3468.22081833705
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,7630.19536811486
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,8335.43467139453
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,12322.8793944076
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,15488.820843582
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,6904.88539055549
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,13327.937071735
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,19445.3389613207
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,5829.60099963821
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,8184.68578771665
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,1737.9454529027
"DESKTOP-MTPK7QB","2024-07-30 19:12:45.253401","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,8742.68634025496
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,19792.3455889511
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,12139.6061664277
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,5287.53651200281
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,8114.58683122601
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,18031.4077001801
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,6375.94837441645
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,8169.28583047353
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,18169.9373206634
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,3468.22081833705
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,7630.19536811486
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,8335.43467139453
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,12322.8793944076
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,15488.820843582
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,6904.88539055549
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,13327.937071735
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,19445.3389613207
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,5829.60099963821
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,8184.68578771665
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,1737.9454529027
"DESKTOP-MTPK7QB","2024-08-01 18:37:33.938236","ALL","ACTUAL",-13040.4065416176,NA,NA,NA,NA,NA,NA,NA,NA,3177.85167961894,3155.62724057918,3252.43156719637,8742.68634025496
